Designator,Mid X,Mid Y,Rotation,Layer
D1,89.88625,-75.09625,90.0,bottom
D2,108.93625,-75.09625,90.0,bottom
D3,127.98625,-75.09625,90.0,bottom
D4,89.88625,-94.14625,90.0,bottom
D5,108.93625,-94.14625,90.0,bottom
D6,127.98625,-94.14625,90.0,bottom
D7,89.88625,-113.19625,90.0,bottom
D8,108.93625,-113.19625,90.0,bottom
D9,127.98625,-113.19625,90.0,bottom
S1,80.36125,-75.09625,0.0,bottom
S2,99.41125,-75.09625,0.0,bottom
S3,118.46125,-75.09625,0.0,bottom
S4,80.36125,-94.14625,0.0,bottom
S5,99.41125,-94.14625,0.0,bottom
S6,118.46125,-94.14625,0.0,bottom
S7,80.36125,-113.19625,0.0,bottom
S8,99.41125,-113.19625,0.0,bottom
S9,118.46125,-113.19625,0.0,bottom
U1,151.92375,-94.615,0.0,top
